# Floor Area,Year Built,Energy Star Score,Site EUI
4.929730469599999924e+04,1.968000000000000000e+03,8.900000000000000000e+01,2.186131562999999858e+02
2.482330998800000089e+04,2.002000000000000000e+03,2.300000000000000000e+01,2.889605355999999574e+02
9.331920544000000518e+03,1.892000000000000000e+03,9.800000000000000000e+01,1.211362943999999970e+02
2.675606399999999849e+04,1.972000000000000000e+03,3.500000000000000000e+01,3.612006695000000036e+02
1.640090981399999873e+04,2.003000000000000000e+03,3.300000000000000000e+01,3.003170632000000069e+02
4.859198511999999937e+03,1.924000000000000000e+03,9.000000000000000000e+01,2.056793332000000021e+02
2.369416692599999806e+04,2.014000000000000000e+03,4.400000000000000000e+01,2.217677472999999964e+02
2.554832500000000000e+05,1.986000000000000000e+03,9.700000000000000000e+01,2.157740244000000018e+02
8.606533919999999853e+03,1.980000000000000000e+03,7.100000000000000000e+01,1.952691829000000041e+02
2.674203564700000061e+04,1.967000000000000000e+03,8.000000000000000000e+00,1.974773965999999916e+02
2.837647812599999816e+04,1.970000000000000000e+03,9.900000000000000000e+01,1.299691492000000039e+02
2.322575000000000000e+04,1.924000000000000000e+03,2.500000000000000000e+01,2.375407022999999924e+02
5.109664999999999964e+03,1.923000000000000000e+03,6.500000000000000000e+01,3.744499516999999855e+02
4.411099472100000276e+04,1.969000000000000000e+03,6.500000000000000000e+01,2.526827390999999636e+02
4.247757417500000156e+04,2.014000000000000000e+03,7.000000000000000000e+00,3.529987328999999932e+02
2.229634838799999852e+04,1.957000000000000000e+03,6.800000000000000000e+01,3.082035407000000191e+02
5.025680688000000373e+03,1.995000000000000000e+03,9.500000000000000000e+01,1.936918873999999846e+02
2.675606399999999849e+04,1.953000000000000000e+03,9.500000000000000000e+01,1.706633731000000012e+02
1.930765887799999837e+04,1.940000000000000000e+03,8.900000000000000000e+01,1.731870458999999869e+02
2.322575000000000000e+04,1.970000000000000000e+03,9.500000000000000000e+01,1.665624047999999959e+02
2.502806820000000153e+04,1.923000000000000000e+03,8.000000000000000000e+00,3.167209364000000278e+02
9.569009000000000015e+03,1.928000000000000000e+03,7.400000000000000000e+01,3.082035407000000191e+02
1.031223300000000017e+05,1.963000000000000000e+03,5.000000000000000000e+01,2.526827390999999636e+02
3.119561966100000063e+04,1.973000000000000000e+03,2.900000000000000000e+01,2.176667789999999911e+02
8.695720799999999144e+03,1.989000000000000000e+03,1.800000000000000000e+01,2.410107524000000012e+02
6.298823400000000220e+03,2.011000000000000000e+03,9.000000000000000000e+01,1.690860776000000101e+02
2.169972532199999841e+04,1.931000000000000000e+03,9.700000000000000000e+01,2.182976972000000160e+02
6.131597999999999956e+03,1.993000000000000000e+03,6.800000000000000000e+01,2.138812697999999841e+02
2.672865761500000008e+04,2.008000000000000000e+03,5.600000000000000000e+01,1.766570959999999957e+02
3.091588872799999808e+04,1.972000000000000000e+03,3.300000000000000000e+01,2.574146255999999653e+02
1.314577449999999953e+04,1.964000000000000000e+03,4.600000000000000000e+01,3.075726224999999658e+02
5.672285568000000239e+03,1.925000000000000000e+03,7.400000000000000000e+01,2.324933566999999925e+02
2.182700243200000114e+04,1.928000000000000000e+03,7.100000000000000000e+01,2.700329895999999508e+02
1.635092799999999988e+04,1.902000000000000000e+03,9.900000000000000000e+01,1.697169957999999781e+02
1.272371617100000003e+04,1.983000000000000000e+03,3.000000000000000000e+00,4.227151939999999968e+02
4.155551189999999769e+04,1.930000000000000000e+03,8.700000000000000000e+01,1.466884814999999946e+02
3.690107160000000295e+04,1.929000000000000000e+03,1.200000000000000000e+01,3.851755610999999817e+02
1.168821933299999910e+04,1.926000000000000000e+03,6.100000000000000000e+01,3.145127226999999834e+02
1.290106799800000044e+04,1.912000000000000000e+03,9.700000000000000000e+01,1.555213362999999731e+02
7.384209149000000252e+03,2.002000000000000000e+03,1.200000000000000000e+01,2.842286490999999842e+02
1.143979671099999905e+04,1.950000000000000000e+03,1.000000000000000000e+02,1.671933229999999782e+01
2.108898099999999977e+04,1.973000000000000000e+03,8.200000000000000000e+01,2.930615038999999911e+02
1.644383099999999831e+04,1.910000000000000000e+03,9.500000000000000000e+01,2.141967289000000108e+02
5.574180000000000291e+03,1.924000000000000000e+03,6.200000000000000000e+01,3.365948597000000291e+02
5.533116874000000280e+03,1.924000000000000000e+03,1.000000000000000000e+02,3.974784659999999548e+01
5.900641142000000400e+03,1.917000000000000000e+03,5.100000000000000000e+01,3.015788995999999997e+02
4.807730249999999614e+03,1.926000000000000000e+03,2.600000000000000000e+01,4.340717215999999894e+02
9.529989739999999074e+03,1.960000000000000000e+03,9.700000000000000000e+01,1.858054099000000008e+02
6.708061114999999518e+03,2.010000000000000000e+03,8.600000000000000000e+01,1.507894497999999999e+02
4.577804615300000296e+04,2.016000000000000000e+03,6.800000000000000000e+01,1.930609692000000166e+02
6.342580713000000287e+03,1.908000000000000000e+03,1.900000000000000000e+01,2.570991664999999671e+02
7.971077400000000125e+03,2.000000000000000000e+03,7.700000000000000000e+01,2.164049425999999698e+02
5.927490109000000302e+03,1.999000000000000000e+03,8.300000000000000000e+01,2.018938239999999951e+02
1.591837163200000032e+04,2.009000000000000000e+03,4.200000000000000000e+01,2.886450765000000160e+02
5.733973159999999552e+03,1.971000000000000000e+03,2.700000000000000000e+01,2.867523219000000267e+02
8.634404819999999745e+03,1.927000000000000000e+03,9.400000000000000000e+01,2.429035069999999905e+02
3.335384925400000066e+04,1.923000000000000000e+03,3.300000000000000000e+01,3.186136910000000171e+02
2.854834867600000143e+04,2.006000000000000000e+03,6.100000000000000000e+01,2.429035069999999905e+02
1.898946610299999884e+04,1.971000000000000000e+03,6.500000000000000000e+01,3.100962953000000084e+02
4.295351624399999855e+04,1.990000000000000000e+03,5.100000000000000000e+01,3.246074138999999832e+02
1.408214383699999962e+04,2.006000000000000000e+03,1.000000000000000000e+02,1.003159938000000011e+02
5.236384691999999632e+03,1.892000000000000000e+03,1.100000000000000000e+01,3.075726224999999658e+02
9.290299999999999272e+03,1.898000000000000000e+03,7.900000000000000000e+01,2.943233402999999839e+02
2.704109040399999867e+04,2.003000000000000000e+03,2.200000000000000000e+01,2.331242749000000174e+02
1.195271417400000064e+04,1.921000000000000000e+03,8.700000000000000000e+01,3.287083822000000168e+02
1.874457379500000025e+04,2.014000000000000000e+03,9.200000000000000000e+01,1.394329222000000073e+02
7.286317257900000550e+04,2.006000000000000000e+03,4.800000000000000000e+01,2.091493832999999825e+02
1.343832604700000047e+04,1.915000000000000000e+03,9.500000000000000000e+01,1.334391992999999843e+02
1.898342740799999956e+04,2.014000000000000000e+03,7.500000000000000000e+01,1.675087820999999906e+02
6.291576965999999629e+03,1.998000000000000000e+03,9.700000000000000000e+01,1.621459773999999925e+02
4.816091519999999946e+03,1.920000000000000000e+03,6.900000000000000000e+01,2.375407022999999924e+02
5.991407373000000007e+03,1.962000000000000000e+03,2.500000000000000000e+01,5.388041428000000224e+02
1.376422977100000026e+04,1.930000000000000000e+03,4.200000000000000000e+01,2.186131562999999858e+02
5.007285893999999826e+04,1.963000000000000000e+03,6.600000000000000000e+01,3.195600682999999549e+02
2.914404271199999857e+04,1.954000000000000000e+03,5.600000000000000000e+01,2.725566623999999933e+02
7.474696670999999697e+03,2.006000000000000000e+03,6.500000000000000000e+01,2.104112197000000037e+02
2.911802987199999916e+04,1.955000000000000000e+03,5.600000000000000000e+01,2.287078474999999855e+02
1.099284037800000078e+04,1.983000000000000000e+03,7.600000000000000000e+01,1.630923547000000156e+02
1.302500059999999939e+04,1.985000000000000000e+03,4.100000000000000000e+01,2.261841746999999998e+02
1.782111797500000102e+04,1.966000000000000000e+03,1.600000000000000000e+01,3.328093504999999936e+02
8.405770537000000331e+03,1.925000000000000000e+03,6.700000000000000000e+01,2.372252431999999942e+02
1.319222600000000057e+04,1.923000000000000000e+03,7.000000000000000000e+01,2.605692165999999474e+02
5.109664999999999964e+03,1.910000000000000000e+03,3.300000000000000000e+01,3.410112870999999473e+02
2.200091684800000075e+04,1.972000000000000000e+03,6.300000000000000000e+01,2.921151265999999964e+02
3.074847752200000104e+04,1.986000000000000000e+03,4.900000000000000000e+01,2.763421715999999719e+02
7.439486434000000372e+03,1.920000000000000000e+03,6.400000000000000000e+01,2.309160612000000015e+02
3.526300590399999783e+04,2.006000000000000000e+03,4.500000000000000000e+01,2.340706522000000120e+02
1.908301942399999825e+04,2.016000000000000000e+03,8.600000000000000000e+01,1.561522544999999980e+02
2.917079877599999963e+04,1.960000000000000000e+03,7.000000000000000000e+01,2.848595672999999806e+02
7.532389433999999710e+03,1.983000000000000000e+03,4.000000000000000000e+00,3.126199680999999941e+02
6.499493879999999990e+03,1.995000000000000000e+03,5.000000000000000000e+01,2.570991664999999671e+02
1.332814308899999924e+04,1.976000000000000000e+03,1.100000000000000000e+01,2.943233402999999839e+02
2.544102203499999814e+04,1.965000000000000000e+03,5.000000000000000000e+01,1.227135898999999881e+02
5.659464954000000034e+03,1.970000000000000000e+03,9.000000000000000000e+01,2.000010693999999773e+02
2.415477999999999884e+04,1.978000000000000000e+03,9.400000000000000000e+01,1.466884814999999946e+02
4.923859000000000378e+03,1.915000000000000000e+03,9.400000000000000000e+01,1.845435735000000079e+02
2.898573600000000079e+04,2.008000000000000000e+03,2.200000000000000000e+01,2.422725887999999941e+02
6.571214995999999701e+03,1.990000000000000000e+03,5.900000000000000000e+01,2.839131899999999860e+02
8.276170851999999286e+03,1.966000000000000000e+03,9.600000000000000000e+01,1.921145918999999935e+02
9.231065047199999390e+04,2.012000000000000000e+03,9.500000000000000000e+01,1.296536901000000057e+02
1.207720419399999992e+04,1.925000000000000000e+03,5.800000000000000000e+01,2.495281480999999815e+02
