# Floor Area,Site EUI,Energy Star Score,Year Built
7.434451091399999859e+04,3.924311203999999975e+02,1.500000000000000000e+01,1.940000000000000000e+03
6.173961768000000120e+03,2.804431399000000056e+02,5.100000000000000000e+01,1.924000000000000000e+03
3.234975363000000016e+03,2.479508525999999620e+02,5.900000000000000000e+01,1.920000000000000000e+03
1.853832913499999995e+04,5.580471479000000272e+02,3.000000000000000000e+00,1.940000000000000000e+03
5.308849031999999715e+04,2.776040080000000216e+02,3.800000000000000000e+01,1.951000000000000000e+03
2.600940258900000117e+04,3.293393004000000133e+02,1.500000000000000000e+01,1.942000000000000000e+03
1.780114383000000089e+03,4.750814045999999848e+02,2.800000000000000000e+01,1.920000000000000000e+03
1.007737421600000016e+04,1.974773965999999916e+02,8.200000000000000000e+01,1.953000000000000000e+03
3.622743194699999731e+04,2.709793669000000023e+02,2.400000000000000000e+01,1.951000000000000000e+03
5.574180000000000291e+03,2.615155938999999989e+02,5.500000000000000000e+01,1.920000000000000000e+03
5.468586450199999672e+04,2.933769629999999893e+02,6.600000000000000000e+01,1.954000000000000000e+03
3.485906366000000162e+03,2.000010693999999773e+02,3.300000000000000000e+01,1.900000000000000000e+03
3.142351071999999931e+03,1.671933229999999924e+02,7.600000000000000000e+01,1.990000000000000000e+03
7.981872728599999391e+04,4.791823729000000185e+02,1.000000000000000000e+00,1.938000000000000000e+03
3.103591940400000021e+04,3.100962953000000084e+02,1.600000000000000000e+01,1.940000000000000000e+03
5.879552160999999614e+03,1.123034396000000044e+02,1.000000000000000000e+02,1.912000000000000000e+03
6.168759200000000419e+03,1.996856102999999791e+02,7.300000000000000000e+01,1.940000000000000000e+03
3.454319345999999769e+03,2.649856439999999935e+01,1.000000000000000000e+02,1.900000000000000000e+03
5.224771816999999828e+03,1.378556267000000162e+02,1.000000000000000000e+02,1.935000000000000000e+03
2.888540075999999772e+03,7.255559299999998935e+00,1.000000000000000000e+02,1.926000000000000000e+03
4.665588660000000345e+03,2.608846757000000025e+02,5.700000000000000000e+01,1.920000000000000000e+03
3.111507275999999820e+03,1.041015029999999975e+01,1.000000000000000000e+02,1.926000000000000000e+03
3.246402431999999862e+03,2.141967289000000108e+02,6.200000000000000000e+01,1.920000000000000000e+03
2.282905419000000165e+03,1.624614364999999907e+02,9.800000000000000000e+01,2.008000000000000000e+03
3.323883534000000054e+03,5.031572644999999966e+02,3.000000000000000000e+00,1.972000000000000000e+03
1.003352399999999943e+04,1.899063782000000060e+02,6.000000000000000000e+00,1.973000000000000000e+03
3.142722683999999845e+03,7.785530588000000307e+02,1.000000000000000000e+00,2.000000000000000000e+03
2.229672000000000025e+03,2.753957942999999773e+02,7.300000000000000000e+01,1.925000000000000000e+03
2.698739246999999978e+03,3.283929230999999618e+02,3.500000000000000000e+01,1.918000000000000000e+03
3.280219124000000193e+03,2.069411695999999665e+02,7.800000000000000000e+01,1.920000000000000000e+03
3.061618364999999812e+03,9.463772999999999769e+00,1.000000000000000000e+02,1.970000000000000000e+03
4.322200591400000121e+04,2.025247421999999915e+02,7.900000000000000000e+01,1.951000000000000000e+03
3.740014651600000070e+04,3.659325559999999768e+02,2.600000000000000000e+01,1.954000000000000000e+03
1.311827521200000047e+04,3.037871132999999872e+02,4.400000000000000000e+01,1.937000000000000000e+03
