# Energy Star Score,Floor Area,Occupancy,Site EUI,Year Built
1.000000000000000000e+02,2.824251200000000154e+03,9.000000000000000000e+01,5.362804699999999514e+01,1.986000000000000000e+03
1.000000000000000000e+00,3.110894116199999917e+04,9.500000000000000000e+01,7.309187346999999590e+02,2.014000000000000000e+03
8.900000000000000000e+01,3.038485517999999956e+03,1.000000000000000000e+02,1.069406348999999921e+02,1.949000000000000000e+03
6.700000000000000000e+01,8.346405520000000251e+03,9.000000000000000000e+01,1.324928219999999897e+02,1.984000000000000000e+03
9.500000000000000000e+01,6.525971234999999979e+03,9.500000000000000000e+01,1.274454763999999898e+02,2.000000000000000000e+03
3.700000000000000000e+01,2.418543799000000035e+03,1.000000000000000000e+02,1.599377637000000050e+02,2.000000000000000000e+03
6.600000000000000000e+01,2.374043262000000141e+03,1.000000000000000000e+02,1.268145582000000076e+02,2.006000000000000000e+03
8.100000000000000000e+01,2.856107638700000098e+04,9.500000000000000000e+01,1.034705847999999833e+02,2.016000000000000000e+03
9.300000000000000000e+01,2.787090000000000146e+03,1.000000000000000000e+02,1.053633393999999868e+02,1.987000000000000000e+03
8.300000000000000000e+01,8.908840281999999206e+03,9.500000000000000000e+01,1.145116532999999919e+02,2.000000000000000000e+03
8.500000000000000000e+01,3.788584339999999884e+03,9.500000000000000000e+01,8.548941609999999969e+01,2.000000000000000000e+03
9.800000000000000000e+01,4.949407325000000128e+03,1.000000000000000000e+02,7.255559300000000178e+01,2.013000000000000000e+03
3.500000000000000000e+01,1.903861178999999993e+03,9.500000000000000000e+01,1.056787984999999992e+02,2.013000000000000000e+03
9.300000000000000000e+01,1.963597807999999986e+03,1.000000000000000000e+02,1.381710857999999860e+02,1.922000000000000000e+03
8.200000000000000000e+01,2.318115655999999944e+03,1.000000000000000000e+02,1.129343577999999866e+02,2.000000000000000000e+03
1.000000000000000000e+02,3.567846811999999773e+03,1.000000000000000000e+02,1.012623710999999957e+02,1.969000000000000000e+03
1.000000000000000000e+02,2.383983882999999878e+03,1.000000000000000000e+02,1.671933229999999782e+01,1.989000000000000000e+03
5.600000000000000000e+01,3.570633902000000035e+03,9.500000000000000000e+01,1.943228056000000095e+02,1.970000000000000000e+03
3.400000000000000000e+01,2.389279353999999785e+03,1.000000000000000000e+02,2.047329559000000074e+02,1.962000000000000000e+03
1.000000000000000000e+02,5.539062665999999808e+03,9.000000000000000000e+01,4.700340589999999708e+01,1.941000000000000000e+03
9.900000000000000000e+01,1.701741412199999832e+04,9.500000000000000000e+01,1.113570622999999813e+02,2.004000000000000000e+03
3.000000000000000000e+01,5.584863844999999856e+03,1.000000000000000000e+02,1.769725550999999939e+02,1.965000000000000000e+03
9.400000000000000000e+01,2.356763304000000062e+03,1.000000000000000000e+02,1.230290490000000005e+02,1.985000000000000000e+03
9.200000000000000000e+01,4.981087247999999818e+03,7.000000000000000000e+01,1.182971624999999989e+02,1.953000000000000000e+03
6.100000000000000000e+01,2.372463910999999825e+03,1.000000000000000000e+02,1.119879804999999919e+02,1.964000000000000000e+03
9.900000000000000000e+01,2.419751537999999982e+03,1.000000000000000000e+02,1.053633393999999868e+02,1.989000000000000000e+03
9.900000000000000000e+01,1.425048407299999963e+04,9.500000000000000000e+01,9.747686189999998874e+01,1.976000000000000000e+03
4.100000000000000000e+01,3.795830774000000019e+03,9.500000000000000000e+01,1.324928219999999897e+02,2.000000000000000000e+03
6.200000000000000000e+01,2.986088225999999850e+03,1.000000000000000000e+02,1.160889487999999830e+02,1.973000000000000000e+03
4.100000000000000000e+01,1.858059999999999945e+03,1.000000000000000000e+02,2.113575969999999984e+02,1.976000000000000000e+03
9.100000000000000000e+01,2.425697329999999965e+03,9.500000000000000000e+01,1.615150591999999961e+02,1.957000000000000000e+03
7.900000000000000000e+01,2.735064319999999952e+03,9.500000000000000000e+01,1.239754262999999810e+02,1.928000000000000000e+03
1.000000000000000000e+00,1.215013304900000003e+04,1.000000000000000000e+02,1.873827053999999919e+02,1.961000000000000000e+03
9.900000000000000000e+01,1.281197402099999999e+04,9.500000000000000000e+01,9.589956639999999766e+01,1.987000000000000000e+03
8.800000000000000000e+01,6.340908459000000221e+03,9.500000000000000000e+01,1.100952258999999884e+02,2.000000000000000000e+03
8.000000000000000000e+01,1.943716566000000057e+03,1.000000000000000000e+02,1.410102176999999983e+02,1.988000000000000000e+03
8.700000000000000000e+01,5.360317294000000402e+03,1.000000000000000000e+02,1.034705847999999833e+02,1.975000000000000000e+03
6.100000000000000000e+01,1.937213355999999976e+03,9.500000000000000000e+01,1.946382647000000077e+02,1.988000000000000000e+03
8.600000000000000000e+01,1.935355295999999953e+03,1.000000000000000000e+02,1.362783311999999967e+02,2.004000000000000000e+03
9.800000000000000000e+01,1.998157723999999916e+03,1.000000000000000000e+02,9.589956639999999766e+01,1.986000000000000000e+03
6.800000000000000000e+01,1.937956580000000031e+03,1.000000000000000000e+02,1.381710857999999860e+02,1.977000000000000000e+03
9.800000000000000000e+01,2.585527651200000037e+04,9.500000000000000000e+01,9.432227089999999237e+01,1.987000000000000000e+03
9.700000000000000000e+01,5.056988999000000149e+03,9.000000000000000000e+01,1.176662442999999882e+02,1.972000000000000000e+03
6.800000000000000000e+01,2.209419146000000183e+03,1.000000000000000000e+02,1.485812361000000124e+02,2.000000000000000000e+03
9.400000000000000000e+01,1.863634180000000015e+03,1.000000000000000000e+02,1.454266451000000018e+02,2.012000000000000000e+03
8.800000000000000000e+01,1.603134168000000045e+03,1.000000000000000000e+02,1.561522544999999980e+02,1.964000000000000000e+03
4.600000000000000000e+01,2.092547172000000046e+03,1.000000000000000000e+02,1.577295499999999890e+02,1.977000000000000000e+03
