# Year Built,Floor Area,Energy Star Score,Site EUI
1.928000000000000000e+03,1.875832343899999978e+04,4.300000000000000000e+01,1.492121542999999804e+02
2.016000000000000000e+03,4.830956000000000131e+03,9.000000000000000000e+01,1.438493496000000107e+02
1.964000000000000000e+03,1.122138175799999954e+04,7.200000000000000000e+01,2.113575969999999984e+02
1.965000000000000000e+03,2.300371183000000019e+04,5.200000000000000000e+01,2.009474467000000004e+02
1.950000000000000000e+03,2.457284349999999904e+04,6.700000000000000000e+01,1.835971962000000133e+02
1.890000000000000000e+03,5.269272353999999723e+03,4.000000000000000000e+01,1.580450090999999873e+02
1.978000000000000000e+03,1.386205662999999913e+04,8.100000000000000000e+01,1.299691492000000039e+02
1.957000000000000000e+03,1.002860014100000080e+04,7.800000000000000000e+01,2.091493832999999825e+02
1.950000000000000000e+03,1.108481434799999988e+04,5.400000000000000000e+01,2.369097840999999676e+02
1.965000000000000000e+03,5.074677730200000224e+04,7.400000000000000000e+01,2.343861112999999818e+02
2.016000000000000000e+03,5.388373999999999796e+03,5.400000000000000000e+01,1.567831726999999944e+02
1.967000000000000000e+03,9.614252760999999737e+03,1.600000000000000000e+01,4.463746264999999767e+02
1.959000000000000000e+03,1.175427336599999944e+04,8.400000000000000000e+01,1.757107187000000010e+02
1.961000000000000000e+03,9.521628469999999652e+03,8.200000000000000000e+01,1.996856102999999791e+02
1.969000000000000000e+03,2.258750638999999865e+04,6.700000000000000000e+01,2.059947922999999719e+02
2.002000000000000000e+03,6.630672915999999532e+03,3.100000000000000000e+01,1.406947586000000001e+02
1.929000000000000000e+03,2.322575000000000000e+04,8.000000000000000000e+01,1.940073464999999828e+02
2.016000000000000000e+03,6.503210000000000036e+03,9.800000000000000000e+01,9.116767989999999600e+01
1.938000000000000000e+03,1.195661609999999928e+04,7.200000000000000000e+01,1.665624047999999959e+02
1.939000000000000000e+03,1.858059999999999854e+04,8.900000000000000000e+01,1.772880141999999921e+02
1.930000000000000000e+03,1.101012033599999995e+04,4.000000000000000000e+01,4.274470804999999700e+02
2.007000000000000000e+03,1.220986967799999911e+04,3.900000000000000000e+01,1.539440407999999820e+02
1.953000000000000000e+03,1.920193526399999973e+04,8.200000000000000000e+01,1.744488822999999798e+02
2.006000000000000000e+03,1.144629992099999981e+04,7.600000000000000000e+01,1.706633731000000012e+02
1.921000000000000000e+03,1.603227071000000069e+04,8.500000000000000000e+01,1.309155264999999986e+02
2.009000000000000000e+03,1.847887121499999921e+04,3.900000000000000000e+01,1.539440407999999820e+02
1.962000000000000000e+03,2.691864425000000119e+04,5.500000000000000000e+01,2.252377974000000052e+02
1.929000000000000000e+03,2.684608700699999827e+04,8.700000000000000000e+01,1.712942912999999976e+02
2.015000000000000000e+03,1.682278233700000055e+04,3.100000000000000000e+01,2.154585652999999752e+02
1.927000000000000000e+03,6.908267079999999623e+03,9.600000000000000000e+01,1.533131226000000140e+02
2.005000000000000000e+03,3.421589619099999982e+04,8.600000000000000000e+01,1.378556267000000162e+02
1.979000000000000000e+03,1.158518990599999961e+04,6.000000000000000000e+01,1.835971962000000133e+02
1.952000000000000000e+03,4.207548999100000219e+04,5.600000000000000000e+01,2.365943249999999978e+02
2.005000000000000000e+03,4.023628929999999673e+04,8.700000000000000000e+01,1.485812361000000124e+02
1.923000000000000000e+03,8.235665144000000510e+03,8.000000000000000000e+01,1.712942912999999976e+02
2.006000000000000000e+03,1.152331650799999989e+04,9.900000000000000000e+01,1.470039405999999929e+02
1.909000000000000000e+03,7.919051720000000387e+03,6.800000000000000000e+01,1.520512861999999927e+02
1.957000000000000000e+03,5.290519270099999994e+04,9.400000000000000000e+01,1.738179641000000117e+02
