# Floor Area,Year Built,Occupancy,Energy Star Score,Site EUI
6.339700719999999819e+03,1.936000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,3.230301183999999921e+02
1.184513249999999971e+04,1.954000000000000000e+03,1.000000000000000000e+02,7.200000000000000000e+01,2.223986654999999928e+02
2.972589420099999916e+04,1.998000000000000000e+03,9.500000000000000000e+01,7.600000000000000000e+01,2.561527892000000293e+02
2.641418095999999878e+03,1.928000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,4.164060119999999898e+01
6.967725000000000364e+03,1.989000000000000000e+03,1.000000000000000000e+02,9.700000000000000000e+01,1.899063782000000060e+02
4.552247000000000298e+03,1.936000000000000000e+03,9.500000000000000000e+01,8.800000000000000000e+01,2.432189660999999887e+02
9.708363499999999476e+03,1.944000000000000000e+03,1.000000000000000000e+02,9.100000000000000000e+01,2.618310529999999972e+02
1.121339209999999912e+04,1.959000000000000000e+03,1.000000000000000000e+02,4.000000000000000000e+00,3.640398013999999876e+02
1.121339209999999912e+04,1.959000000000000000e+03,1.000000000000000000e+02,4.000000000000000000e+00,3.640398013999999876e+02
7.500988220000000183e+03,1.950000000000000000e+03,9.000000000000000000e+01,3.900000000000000000e+01,3.687716879000000176e+02
6.410306999999999789e+03,1.960000000000000000e+03,9.000000000000000000e+01,3.200000000000000000e+01,3.876992339000000243e+02
9.197397000000000844e+03,1.960000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+00,4.255543258999999807e+02
3.982194191999999930e+03,1.930000000000000000e+03,1.000000000000000000e+02,2.600000000000000000e+01,3.703489834000000087e+02
1.516149089099999946e+04,1.938000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,1.735025049999999851e+02
7.153530999999999949e+03,1.937000000000000000e+03,1.000000000000000000e+02,7.200000000000000000e+01,2.823358944999999949e+02
5.852889000000000124e+03,1.935000000000000000e+03,1.000000000000000000e+02,9.100000000000000000e+01,2.429035069999999905e+02
1.130443704000000071e+04,1.940000000000000000e+03,1.000000000000000000e+02,8.900000000000000000e+01,2.318624384999999961e+02
5.298815507999999681e+03,1.930000000000000000e+03,1.000000000000000000e+02,8.200000000000000000e+01,2.766576307000000270e+02
6.653712859999999637e+03,1.938000000000000000e+03,1.000000000000000000e+02,5.200000000000000000e+01,3.365948597000000291e+02
7.432239999999999782e+03,1.939000000000000000e+03,8.000000000000000000e+01,3.000000000000000000e+00,3.911692840000000047e+02
4.449682087999999567e+03,2.006000000000000000e+03,9.500000000000000000e+01,9.800000000000000000e+01,1.533131226000000140e+02
5.980816431000000193e+03,1.928000000000000000e+03,1.000000000000000000e+02,9.400000000000000000e+01,1.753952596000000028e+02
4.731921401999999944e+03,2.012000000000000000e+03,9.000000000000000000e+01,6.500000000000000000e+01,1.848590326000000061e+02
6.568242100000000391e+03,1.963000000000000000e+03,1.000000000000000000e+02,4.500000000000000000e+01,3.334402686999999901e+02
3.251605000000000018e+03,1.931000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,8.927492530000000670e+01
3.251605000000000018e+03,1.931000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,8.927492530000000670e+01
3.251605000000000018e+03,1.931000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,8.927492530000000670e+01
4.645149999999999636e+03,1.946000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,1.293382309999999791e+01
4.645149999999999636e+03,1.946000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,1.293382309999999791e+01
4.645149999999999636e+03,1.946000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,1.293382309999999791e+01
9.476105999999999767e+03,1.900000000000000000e+03,1.000000000000000000e+02,8.000000000000000000e+01,2.290233065999999837e+02
5.254129165000000285e+03,1.920000000000000000e+03,1.000000000000000000e+02,9.300000000000000000e+01,1.649851092999999764e+02
1.183008221400000002e+04,2.008000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,9.242951630000000307e+01
5.574180000000000291e+03,1.984000000000000000e+03,9.500000000000000000e+01,4.600000000000000000e+01,2.962160949000000301e+02
6.967725000000000364e+03,1.989000000000000000e+03,1.000000000000000000e+02,9.700000000000000000e+01,1.899063782000000060e+02
2.230043611999999848e+04,1.925000000000000000e+03,1.000000000000000000e+02,5.900000000000000000e+01,2.460580980000000011e+02
3.592559009999999944e+03,1.920000000000000000e+03,9.000000000000000000e+01,8.700000000000000000e+01,2.766576307000000270e+02
3.987768371999999999e+03,1.920000000000000000e+03,9.000000000000000000e+01,9.300000000000000000e+01,2.394334569000000101e+02
3.962498755999999958e+03,1.928000000000000000e+03,1.000000000000000000e+02,8.000000000000000000e+00,3.848601019999999835e+02
5.925353339999999662e+03,1.939000000000000000e+03,1.000000000000000000e+02,1.900000000000000000e+01,3.242919547999999850e+02
7.511857871000000159e+03,2.011000000000000000e+03,1.000000000000000000e+02,8.800000000000000000e+01,1.605686819000000014e+02
7.804409418000000187e+03,1.935000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+01,2.839131899999999860e+02
7.804409418000000187e+03,1.935000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+01,2.839131899999999860e+02
4.203674944000000323e+03,1.950000000000000000e+03,9.000000000000000000e+01,1.600000000000000000e+01,4.135668800999999917e+02
5.649617236000000048e+03,1.950000000000000000e+03,9.000000000000000000e+01,1.800000000000000000e+01,1.659314865999999995e+02
8.361270000000000437e+03,1.940000000000000000e+03,1.000000000000000000e+02,9.400000000000000000e+01,2.681402350000000183e+02
6.781918999999999869e+03,1.960000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,1.167198669999999971e+01
3.857072431599999982e+04,1.953000000000000000e+03,1.000000000000000000e+02,4.900000000000000000e+01,2.766576307000000270e+02
9.592048944000000120e+03,1.910000000000000000e+03,1.000000000000000000e+02,5.300000000000000000e+01,2.283923884000000157e+02
5.685663599999999860e+03,1.920000000000000000e+03,1.000000000000000000e+02,2.300000000000000000e+01,2.917996674999999982e+02
5.574180000000000291e+03,1.916000000000000000e+03,1.000000000000000000e+02,6.000000000000000000e+00,3.596233740000000125e+02
5.667082999999999629e+03,1.987000000000000000e+03,1.000000000000000000e+02,3.000000000000000000e+00,3.918002022000000011e+02
2.308546647000000121e+03,2.005000000000000000e+03,1.000000000000000000e+02,8.800000000000000000e+01,1.690860776000000101e+02
5.034134860999999546e+03,1.930000000000000000e+03,1.000000000000000000e+02,9.700000000000000000e+01,2.063102514000000269e+02
4.459344000000000051e+03,1.926000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,7.886477499999999807e+00
4.570827599999999620e+03,1.923000000000000000e+03,1.000000000000000000e+02,8.300000000000000000e+01,2.539445754999999849e+02
5.034134860999999546e+03,1.930000000000000000e+03,1.000000000000000000e+02,9.700000000000000000e+01,2.063102514000000269e+02
4.459344000000000051e+03,1.926000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,7.886477499999999807e+00
4.570827599999999620e+03,1.923000000000000000e+03,1.000000000000000000e+02,8.300000000000000000e+01,2.539445754999999849e+02
1.183008221400000002e+04,2.008000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,9.242951630000000307e+01
2.820925272599999880e+04,1.963000000000000000e+03,7.000000000000000000e+01,2.000000000000000000e+00,3.091499180000000138e+02
3.378510498000000098e+03,1.910000000000000000e+03,1.000000000000000000e+02,5.500000000000000000e+01,2.876986992000000214e+02
3.372378900000000158e+03,1.928000000000000000e+03,1.000000000000000000e+02,8.800000000000000000e+01,9.306043449999999950e+01
5.467815355299999646e+04,1.963000000000000000e+03,1.000000000000000000e+02,2.600000000000000000e+01,3.000016040999999518e+02
7.838040304000000106e+03,1.950000000000000000e+03,1.000000000000000000e+02,4.100000000000000000e+01,2.769730897999999684e+02
1.130295059199999923e+04,1.961000000000000000e+03,1.000000000000000000e+02,6.600000000000000000e+01,2.690866122999999561e+02
7.101505320000000211e+03,1.931000000000000000e+03,1.000000000000000000e+02,7.400000000000000000e+01,2.283923884000000157e+02
4.462679217700000299e+04,1.952000000000000000e+03,1.000000000000000000e+02,6.500000000000000000e+01,2.817049762999999984e+02
4.462679217700000299e+04,1.952000000000000000e+03,1.000000000000000000e+02,6.500000000000000000e+01,2.817049762999999984e+02
3.427005864000000201e+03,1.929000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+01,3.719262788999999998e+02
2.759219099999999798e+03,1.931000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+00,6.671959964999999784e+02
4.985639495000000352e+03,2.011000000000000000e+03,1.000000000000000000e+02,9.500000000000000000e+01,1.823353597999999920e+02
2.668731577999999899e+03,1.924000000000000000e+03,1.000000000000000000e+02,9.500000000000000000e+01,8.328120239999999797e+01
2.296840869000000112e+03,1.927000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+00,4.050494843999999830e+02
3.175052928000000065e+03,1.930000000000000000e+03,1.000000000000000000e+02,7.300000000000000000e+01,2.410107524000000012e+02
2.538667378000000099e+03,1.920000000000000000e+03,7.000000000000000000e+01,6.900000000000000000e+01,2.804431399000000056e+02
2.867915610000000015e+03,1.928000000000000000e+03,9.500000000000000000e+01,6.300000000000000000e+01,2.728721214999999916e+02
3.762571500000000015e+03,1.935000000000000000e+03,1.000000000000000000e+02,2.200000000000000000e+01,3.498441419000000110e+02
2.668731577999999899e+03,1.924000000000000000e+03,1.000000000000000000e+02,9.500000000000000000e+01,8.328120239999999797e+01
2.296840869000000112e+03,1.927000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+00,4.050494843999999830e+02
3.392074336000000130e+03,1.912000000000000000e+03,1.000000000000000000e+02,6.600000000000000000e+01,2.656165621999999757e+02
3.427005864000000201e+03,1.929000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+01,3.719262788999999998e+02
1.351710779100000036e+04,1.920000000000000000e+03,1.000000000000000000e+02,9.400000000000000000e+01,1.747643413999999780e+02
9.290299999999999272e+03,2.016000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+01,2.104112197000000037e+02
9.290299999999999272e+03,2.016000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+01,2.104112197000000037e+02
9.290299999999999272e+03,2.016000000000000000e+03,1.000000000000000000e+02,5.000000000000000000e+01,2.104112197000000037e+02
7.989658000000000357e+03,2.016000000000000000e+03,1.000000000000000000e+02,3.500000000000000000e+01,2.447962615999999798e+02
7.091657602000000225e+03,1.881000000000000000e+03,1.000000000000000000e+02,9.200000000000000000e+01,2.050484150000000056e+02
4.552247000000000298e+03,1.936000000000000000e+03,9.500000000000000000e+01,8.800000000000000000e+01,2.432189660999999887e+02
4.459344000000000051e+03,1.926000000000000000e+03,1.000000000000000000e+02,9.400000000000000000e+01,2.170358607999999947e+02
1.574389979799999855e+05,1.974000000000000000e+03,1.000000000000000000e+02,4.300000000000000000e+01,1.798116870000000063e+02
6.689015999999999622e+03,1.930000000000000000e+03,1.000000000000000000e+02,6.800000000000000000e+01,2.473199344000000224e+02
3.735258017999999993e+03,1.920000000000000000e+03,9.000000000000000000e+01,8.600000000000000000e+01,2.637238075999999865e+02
5.001618811000000278e+03,1.917000000000000000e+03,1.000000000000000000e+02,8.400000000000000000e+01,2.760267124999999737e+02
1.600021917500000018e+04,1.924000000000000000e+03,1.000000000000000000e+02,8.000000000000000000e+01,1.927455100999999900e+02
6.506740313999999671e+03,2.013000000000000000e+03,1.000000000000000000e+02,2.300000000000000000e+01,1.681397002999999870e+02
1.639552144000000044e+04,1.956000000000000000e+03,1.000000000000000000e+02,9.900000000000000000e+01,8.675125249999999255e+01
6.616180048000000170e+03,1.956000000000000000e+03,1.000000000000000000e+02,9.800000000000000000e+01,9.968507560000000467e+01
9.661912000000000262e+03,1.992000000000000000e+03,1.000000000000000000e+02,9.700000000000000000e+01,8.296574329999999975e+01
1.647634705000000031e+04,1.965000000000000000e+03,1.000000000000000000e+02,2.600000000000000000e+01,2.627774302999999918e+02
4.291737697699999990e+04,1.950000000000000000e+03,1.000000000000000000e+02,4.000000000000000000e+00,4.340717215999999894e+02
1.286706550000000061e+04,2.000000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+00,9.394371998000000303e+02
9.750262752999999066e+03,1.971000000000000000e+03,1.000000000000000000e+02,6.000000000000000000e+00,3.167209364000000278e+02
1.168496772799999962e+04,1.965000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,2.555218709999999760e+01
8.248662273699999787e+04,2.000000000000000000e+03,1.000000000000000000e+02,7.600000000000000000e+01,2.397489160000000084e+02
8.185590427000000091e+03,2.008000000000000000e+03,1.000000000000000000e+02,9.000000000000000000e+00,4.088349935999999616e+02
1.025910177430000040e+05,2.008000000000000000e+03,1.000000000000000000e+02,4.600000000000000000e+01,2.690866122999999561e+02
7.710948999999999614e+03,1.989000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,6.498457460000000196e+01
5.759985999999999876e+03,1.927000000000000000e+03,1.000000000000000000e+02,4.700000000000000000e+01,3.037871132999999872e+02
5.852889000000000124e+03,1.990000000000000000e+03,1.000000000000000000e+02,3.900000000000000000e+01,2.927460447999999928e+02
5.945792000000000371e+03,1.990000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,5.709809710000000393e+01
7.280993916000000354e+03,1.957000000000000000e+03,1.000000000000000000e+02,9.800000000000000000e+01,7.507926580000000172e+01
5.808667172000000392e+03,1.926000000000000000e+03,1.000000000000000000e+02,1.000000000000000000e+02,5.772901530000000037e+01
7.924625900000000001e+03,1.931000000000000000e+03,1.000000000000000000e+02,4.400000000000000000e+01,2.990552267999999572e+02
3.358443449999999757e+03,1.926000000000000000e+03,1.000000000000000000e+02,4.500000000000000000e+01,2.788658444000000145e+02
3.604636399999999867e+03,1.935000000000000000e+03,1.000000000000000000e+02,7.000000000000000000e+01,2.164049425999999698e+02
3.056322893999999906e+03,1.925000000000000000e+03,1.000000000000000000e+02,6.000000000000000000e+01,2.835977308999999877e+02
2.246060089199999857e+04,2.014000000000000000e+03,9.500000000000000000e+01,8.200000000000000000e+01,1.703479140000000029e+02
4.673949929999999767e+03,1.924000000000000000e+03,1.000000000000000000e+02,4.800000000000000000e+01,3.700335242999999537e+02
5.295470999999999549e+03,1.930000000000000000e+03,1.000000000000000000e+02,7.600000000000000000e+01,2.391179977999999835e+02
3.483862500000000182e+03,1.930000000000000000e+03,1.000000000000000000e+02,6.500000000000000000e+01,2.473199344000000224e+02
2.601284000000000106e+03,1.931000000000000000e+03,1.000000000000000000e+02,4.800000000000000000e+01,2.776040080000000216e+02
3.978106459999999970e+03,1.961000000000000000e+03,1.000000000000000000e+02,4.800000000000000000e+01,2.921151265999999964e+02
2.616148479999999836e+03,1.927000000000000000e+03,1.000000000000000000e+02,9.300000000000000000e+01,2.208213700000000017e+02
4.186209179999999833e+03,1.927000000000000000e+03,1.000000000000000000e+02,3.700000000000000000e+01,2.725566623999999933e+02
