# Year Built,Floor Area,Energy Star Score,Site EUI
2.006000000000000000e+03,6.381785778999999820e+03,1.000000000000000000e+00,1.087387517699999989e+03
1.963000000000000000e+03,6.131597999999999956e+03,1.000000000000000000e+00,1.000636265199999912e+03
1.971000000000000000e+03,6.503210000000000036e+03,1.000000000000000000e+00,6.712969648000000689e+02
1.929000000000000000e+03,1.002228273699999954e+04,1.000000000000000000e+00,5.334413380999999390e+02
1.973000000000000000e+03,4.459344000000000051e+03,5.000000000000000000e+00,4.798132910999999581e+02
1.929000000000000000e+03,1.645005550099999891e+04,3.000000000000000000e+00,4.706649771999999530e+02
1.954000000000000000e+03,1.006278844500000014e+04,3.000000000000000000e+00,4.640403360999999904e+02
1.964000000000000000e+03,8.875488105000000360e+03,2.000000000000000000e+01,4.548920221999999285e+02
2.009000000000000000e+03,1.251152571899999930e+04,1.000000000000000000e+00,4.160905529000000342e+02
1.972000000000000000e+03,7.815464874999999665e+03,1.300000000000000000e+01,4.154596346999999810e+02
1.963000000000000000e+03,4.060176970199999778e+04,4.000000000000000000e+00,4.047340253000000416e+02
1.953000000000000000e+03,5.531444620000000214e+03,6.000000000000000000e+00,3.854910201999999799e+02
1.958000000000000000e+03,9.044107050000000527e+03,2.800000000000000000e+01,3.826518882999999960e+02
1.940000000000000000e+03,1.868558038999999917e+04,3.600000000000000000e+01,3.589924557999999593e+02
2.003000000000000000e+03,1.068384499999999935e+04,1.000000000000000000e+01,3.545760283999999842e+02
1.957000000000000000e+03,1.318024151299999903e+04,2.000000000000000000e+00,3.536296510999999896e+02
2.005000000000000000e+03,6.717908833000000413e+03,1.000000000000000000e+00,3.504750600999999506e+02
1.970000000000000000e+03,3.424516063600000052e+04,2.300000000000000000e+01,3.444813371999999845e+02
1.922000000000000000e+03,2.108898099999999977e+04,3.700000000000000000e+01,3.422731234999999970e+02
1.911000000000000000e+03,9.550056787999999869e+03,1.900000000000000000e+01,3.422731234999999970e+02
1.950000000000000000e+03,5.312007733999999800e+03,1.900000000000000000e+01,3.365948597000000291e+02
1.917000000000000000e+03,2.158303915399999823e+04,7.000000000000000000e+00,3.331248095999999919e+02
1.929000000000000000e+03,2.629154899999999907e+04,7.000000000000000000e+00,3.324938913999999954e+02
2.005000000000000000e+03,4.638460984000000281e+03,9.000000000000000000e+00,3.246074138999999832e+02
1.916000000000000000e+03,2.787090000000000146e+03,3.000000000000000000e+00,3.208219047000000046e+02
1.960000000000000000e+03,3.660378200000000106e+03,3.400000000000000000e+01,3.135663453999999888e+02
2.004000000000000000e+03,6.119799318999999741e+03,2.000000000000000000e+00,3.129354271999999924e+02
1.938000000000000000e+03,2.495049419499999931e+04,2.500000000000000000e+01,3.100962953000000084e+02
1.930000000000000000e+03,6.838125315000000228e+03,1.700000000000000000e+01,3.091499180000000138e+02
