# Year Built,Number of Floors,Floor Area,Energy Star Score,Site EUI
1.910000000000000000e+03,6.000000000000000000e+00,5.780053047999999762e+03,1.400000000000000000e+01,2.864368627999999717e+02
2.007000000000000000e+03,4.000000000000000000e+00,3.524739819999999781e+03,5.100000000000000000e+01,1.233445080999999988e+02
1.909000000000000000e+03,6.000000000000000000e+00,4.828726327999999739e+03,3.000000000000000000e+00,3.548914874999999824e+02
1.917000000000000000e+03,4.000000000000000000e+00,5.259889151000000311e+03,2.800000000000000000e+01,1.063097167000000098e+02
2.009000000000000000e+03,6.000000000000000000e+00,5.271780735000000277e+03,4.500000000000000000e+01,2.034711194999999861e+02
2.016000000000000000e+03,7.000000000000000000e+00,2.980737013200000001e+04,1.000000000000000000e+02,6.750824739999998769e+01
1.989000000000000000e+03,2.600000000000000000e+01,2.568740079100000003e+04,7.200000000000000000e+01,1.410102176999999983e+02
2.002000000000000000e+03,5.000000000000000000e+00,1.820833767900000021e+04,7.500000000000000000e+01,1.917991327999999953e+02
1.976000000000000000e+03,4.000000000000000000e+00,2.911022602000000006e+03,9.400000000000000000e+01,6.971646110000000363e+01
2.005000000000000000e+03,3.000000000000000000e+00,4.427571173999999701e+03,6.600000000000000000e+01,7.728747950000000344e+01
2.000000000000000000e+03,3.000000000000000000e+00,5.294170358000000306e+03,4.600000000000000000e+01,7.224013389999998935e+01
1.962000000000000000e+03,3.000000000000000000e+00,2.235153276999999889e+03,7.500000000000000000e+01,9.085222079999999778e+01
1.988000000000000000e+03,4.000000000000000000e+00,5.619423761000000013e+03,7.500000000000000000e+01,9.274497539999998708e+01
1.990000000000000000e+03,3.000000000000000000e+00,2.779100342000000182e+03,8.900000000000000000e+01,9.684594369999999230e+01
1.965000000000000000e+03,2.000000000000000000e+00,6.931864442000000054e+03,8.700000000000000000e+01,1.589913863999999819e+02
1.998000000000000000e+03,3.000000000000000000e+00,2.223819110999999793e+03,8.000000000000000000e+01,8.201936599999999089e+01
2.000000000000000000e+03,6.000000000000000000e+00,8.081817775999999867e+03,1.000000000000000000e+02,6.656187010000000726e+01
1.959000000000000000e+03,2.000000000000000000e+00,2.435080532999999832e+03,7.000000000000000000e+01,1.741334232000000100e+02
1.910000000000000000e+03,1.100000000000000000e+01,2.990965633499999967e+04,2.900000000000000000e+01,2.223986654999999928e+02
2.003000000000000000e+03,6.000000000000000000e+00,8.078380364999999983e+03,9.400000000000000000e+01,9.463773000000000479e+01
2.003000000000000000e+03,1.100000000000000000e+01,1.810855985700000019e+04,9.100000000000000000e+01,9.558410729999999944e+01
1.926000000000000000e+03,4.000000000000000000e+00,2.809386719999999968e+03,7.300000000000000000e+01,8.769762980000000141e+01
1.989000000000000000e+03,4.000000000000000000e+00,4.262203833999999915e+03,2.100000000000000000e+01,7.854931589999999630e+01
1.995000000000000000e+03,5.000000000000000000e+00,3.513963072000000011e+03,9.200000000000000000e+01,9.053676169999999956e+01
1.976000000000000000e+03,4.000000000000000000e+00,3.601384794999999940e+03,6.600000000000000000e+01,1.205053762000000006e+02
1.991000000000000000e+03,8.000000000000000000e+00,8.214854871999999887e+03,8.400000000000000000e+01,1.697169957999999781e+02
1.990000000000000000e+03,3.000000000000000000e+00,2.043029872999999952e+03,7.600000000000000000e+01,8.927492530000000670e+01
2.004000000000000000e+03,1.300000000000000000e+01,1.118598571500000071e+04,9.400000000000000000e+01,8.138844779999999446e+01
1.988000000000000000e+03,4.000000000000000000e+00,2.227442328000000089e+03,8.700000000000000000e+01,8.233482510000000332e+01
2.004000000000000000e+03,6.000000000000000000e+00,1.571444954700000017e+04,8.200000000000000000e+01,1.066251757999999938e+02
1.992000000000000000e+03,5.000000000000000000e+00,2.356763304000000062e+03,7.700000000000000000e+01,1.059942575999999974e+02
1.928000000000000000e+03,1.400000000000000000e+01,4.658249323000000004e+03,8.100000000000000000e+01,2.908532902000000036e+02
1.993000000000000000e+03,6.000000000000000000e+00,1.061063743599999907e+04,1.000000000000000000e+02,1.552058772000000033e+02
1.910000000000000000e+03,5.000000000000000000e+00,3.761549567000000025e+03,8.200000000000000000e+01,1.927455100999999900e+02
